交易序号,入场时间,入场_开盘价,入场_最高价,入场_最低价,入场_收盘价,入场_成交量,入场_4h收盘价,入场_4h上轨,入场_4h中轨,入场_4h下轨,入场_4h宽度%,入场_价格vs上轨,入场_1h上轨,入场_1h中轨,入场_1h下轨,入场_宽度达标,入场_上穿上轨,入场_Armed当根,入场_Armed持续,入场_HLH信号,入场_结构高,入场_结构低,入场_结构类型,入场信号,止损价(1%),止损距离%,出场时间,出场_收盘价,出场_4h收盘价,出场_4h下轨,出场_4h宽度%,出场_Armed状态,出场_跌破下轨,出场原因,出场详情,持仓时长(小时),盈亏点数,盈亏%,盈亏金额,盈亏状态,持仓期最高价,持仓期最低价,累计盈亏%,累计盈亏金额
39,2025-05-16 09:00:00+00:00,2573.13,2617.17,2571.54,2611.29,40394.1052,2601.5,2710.5393675462697,2577.377,2444.2146324537302,10.33316953990585,-109.03936754626966,2623.3000916309315,2563.5535,2503.8069083690684,是,否,否,是,是,2617.17,2571.54,1,1,2585.1771,1.0,2025-05-16 12:00:00+00:00,2598.5,2620.83,2473.934412569809,8.75425390479945,否,否,结构转弱,低点2592.70 < 前低点2616.82,3.0,-12.789999999999964,-0.48979623098162073,-12.789999999999964,亏损,2649.31,2592.7,10.652228114885416,247.73000000000002
40,2025-05-22 14:00:00+00:00,2643.91,2676.0,2643.91,2666.05,41386.2317,2650.75,2656.720838512895,2531.1220000000003,2405.5231614871054,9.92436069955496,-5.97083851289517,2715.3786720052804,2604.188,2492.997327994719,是,否,否,是,是,2676.0,2643.91,1,1,2639.3895,1.0,2025-05-22 16:00:00+00:00,2645.89,2664.48,2420.112753123241,9.751453967834479,是,否,结构转弱,低点2635.28 < 前低点2658.99,2.0,-20.16000000000031,-0.756174865437644,-20.16000000000031,亏损,2679.99,2635.28,9.896053249447771,227.5699999999997
41,2025-05-23 13:00:00+00:00,2548.5,2584.35,2537.08,2582.28,69055.9882,2566.79,2718.579506599101,2582.1015,2445.6234934008985,10.57107992068485,-151.78950659910106,2742.832643016647,2653.2210000000005,2563.609356983354,是,否,否,是,是,2584.35,2537.08,1,1,2556.4572000000003,1.0,2025-05-23 15:00:00+00:00,2568.53,2568.53,2449.268801876121,10.42172845013582,是,否,结构转弱,低点2565.63 < 前低点2571.99,2.0,-13.75,-0.532475176975386,-13.75,亏损,2591.95,2565.63,9.363578072472386,213.8199999999997
42,2025-05-23 17:00:00+00:00,2567.11,2587.18,2566.07,2577.2,20285.3893,2568.53,2718.557198123879,2583.913,2449.268801876121,10.42172845013582,-150.02719812387886,2751.3655096835946,2639.0765,2526.7874903164056,是,否,否,是,是,2587.18,2566.07,1,1,2551.428,1.0,2025-05-23 20:00:00+00:00,2543.23,2560.98,2455.12760175643,10.140109953985139,是,否,止损,价格2543.23触发1%止损线2551.43,3.0,-33.9699999999998,-1.3180971597082027,-33.9699999999998,亏损,2581.64,2527.01,8.045480912764184,179.8499999999999
43,2025-05-24 02:00:00+00:00,2524.53,2545.0,2518.62,2540.85,8887.0487,2526.5,2713.623698142066,2588.4375,2463.251301857934,9.67272326583633,-187.12369814206613,2679.290892450653,2575.4155,2471.540107549347,是,否,否,是,是,2545.0,2518.62,1,1,2515.4415,1.0,2025-05-24 05:00:00+00:00,2551.18,2549.99,2471.045780335045,9.24994931553608,是,否,结构转弱,低点2543.48 < 前低点2545.80,3.0,10.329999999999927,0.4065568608930054,10.329999999999927,盈利,2563.5,2538.12,8.452037773657189,190.17999999999984
44,2025-05-29 09:00:00+00:00,2723.2,2739.37,2716.49,2736.3,16283.0241,2731.28,2751.637524543517,2628.2465,2504.8554754564834,9.389608207869141,-20.357524543516774,2788.268811691332,2687.7405000000003,2587.212188308669,是,否,否,是,是,2739.37,2716.49,1,1,2708.9370000000004,1.0,2025-05-29 11:00:00+00:00,2715.83,2715.83,2511.0682275336803,9.48055251917906,是,否,结构转弱,低点2707.10 < 前低点2724.38,2.0,-20.470000000000255,-0.7480904871541956,-20.470000000000255,亏损,2744.42,2707.1,7.703947286502993,169.70999999999958
45,2025-05-29 17:00:00+00:00,2640.18,2670.27,2638.19,2659.42,26595.7264,2643.68,2761.4061161617456,2639.167,2516.9278838382543,9.26346200613645,-117.72611616174572,2782.219866081233,2704.035,2625.8501339187665,是,否,否,是,是,2670.27,2638.19,1,1,2632.8258,1.0,2025-05-29 19:00:00+00:00,2650.12,2650.12,2525.655461771011,8.89909715802584,否,否,结构转弱,低点2628.99 < 前低点2645.52,2.0,-9.300000000000182,-0.34970031059404616,-9.300000000000182,亏损,2673.48,2628.99,7.354246975908947,160.4099999999994
46,2025-06-12 02:00:00+00:00,2776.1,2784.64,2757.01,2757.99,17789.3538,2771.61,2934.214977958368,2681.7805,2429.346022041632,18.825886604691767,-162.60497795836773,2865.117156401283,2797.0375,2728.957843598717,是,否,否,是,是,2784.64,2757.01,1,1,2730.4100999999996,1.0,2025-06-12 07:00:00+00:00,2741.0,2741.0,2475.298587497891,16.98110049498676,是,否,结构转弱,低点2733.68 < 前低点2755.15,5.0,-16.98999999999978,-0.6160283394791055,-16.98999999999978,亏损,2777.21,2733.68,6.738218636429842,143.41999999999962
47,2025-06-12 09:00:00+00:00,2757.32,2762.11,2748.93,2752.6,13451.9304,2741.0,2934.631412502109,2704.965,2475.298587497891,16.98110049498676,-193.63141250210901,2866.1925509425314,2789.3285,2712.4644490574688,是,否,否,是,是,2762.11,2748.93,1,1,2725.074,1.0,2025-06-12 11:00:00+00:00,2729.8,2729.8,2508.7949377755763,15.29972349562056,是,否,结构转弱,低点2720.38 < 前低点2733.64,2.0,-22.799999999999727,-0.8283077817336238,-22.799999999999727,亏损,2753.56,2720.38,5.909910854696218,120.61999999999989
48,2025-06-12 13:00:00+00:00,2736.91,2754.81,2732.25,2749.52,27054.8861,2729.8,2924.429062224424,2716.612,2508.7949377755763,15.29972349562056,-194.6290622244237,2817.549943137617,2767.532,2717.514056862384,是,否,否,是,是,2754.81,2732.25,1,1,2722.0248,1.0,2025-06-12 15:00:00+00:00,2719.79,2719.79,2549.1280368944467,13.114670868911048,是,否,止损,价格2719.79触发1%止损线2722.02,2.0,-29.730000000000018,-1.0812796415374326,-29.730000000000018,亏损,2773.21,2713.41,4.828631213158785,90.88999999999987
